id,premise,hypothesis,label,attacked_hypothesis,generator
1890,의식을 치를 때 샤먼은 화려하고 다양한 황금 장신구를 사용했다.,샤먼은 의식을 치를때마다 황금 장신구를 사용했다.,1,샤먼은 의례 시 항상 금빛 액세서리를 활용하였다.,clova
1891,"오전 10시경 일어난 사고였기에 출근길만큼 큰 불편을 겪지는 않았지만, 회사를 불문한 연이은 탈선 사고에 시민들이 두려움을 느끼는 것은 사실이다.",시민들은 오전 10시쯤 일어난 사고로 인해 두려움을 느꼈다.,0,시민들이 겪은 오전 10시 경의 사고 때문에 공포를 느꼈다.,clova
1892,"질본은 확진자 중 34명은 대구에서 발생했고, 해외 유입 확진자는 13명이 발생했다고 밝혀 총 확진자의 수가 9,332명으로 증가했다고 설명했다.",해외에서 들어온 확진자는 총 10명이다.,2,해외 입국 확진자의 수는 모두 합쳐 10명이다.,clova
1893,"숭의보건지소는 지난 2013년 7월부터 각각 진행하던 사업을 통합, 올해부터 대상자별 맞춤 케어서비스를 제공하고 있다.",승의보건지소는 대상자에 따라 맞춰 케어 서비스를 해준다.,0,승의 보건 지소는 대상자의 특성에 부합하는 맞춤형 케어 서비스를 제공한다.,clova
1894,"19세기 말부터 동성애자의 가시화, 인정 및 법적 권리를 향한 전 세계적인 변화가 생기기 시작했다.",대한민국을 포함한 동아시아에서 동성애자끼리의 결혼은 합법이다.,1,대한민국이 속하는 동아시아 지역에서는 동성 간 혼인이 법적으로 인정된다.,clova
1895,파리 여행한다면 다시 여기로 올 생각입니다.,파리 여행을 계획하고 있어요.,1,파리 관광 일정을 짜고 있는 중이에요.,clova
1896,이 퍼포먼스는 6월 1일 대한민국 의병의 날을 맞아 신돌석장군 유적지에서 개최되는 제9회 의병의 날 기념식 사전홍보를 위해 특별히 준비했다.,제 9회 의병의 날 기념식은 신돌석장군 유적지에서 개최된다.,0,제 9회 의병의 날을 기리기 위한 행사는 신돌석 장군의 유적에서 열린다.,clova
1897,소피마르소 내 인생에 있어서 청순 넘버 원,소피마르소의 외모는 1등.,1,소피 마르소는 가장 아름다운 사람이다.,clova
1898,또한 의료진의 피로도가 경감되도록 인력의 확보와 교대지원 방안 등을 적극 강구할 예정이다.,현재 의료인들의 피로도가 한계에 달해 퇴사자가 늘고있다.,1,현재 의사 등 의료인들이 과도한 업무로 인해 지쳐서 직장을 떠나는 경우가 증가하고 있다.,clova
1899,결국 농민들은 무기를 들고 일어났고 농민들의 궐기는 멕시코 혁명으로 이어져 디아스는 망명하게 된다.,결국 농민들의 의해 디아스는 망명하게 된다.,0,결국 디아스의 망명은 농민들에 의해서 이루어졌다.,clova
1900,지난해 10월11일 당사자 없이 변호인들만 출석한 상태에서 변론준비기일이 진행됐다.,지난해 10월 11일 모든 당사자와 변호인들의 출석하에 변론준비기일이 진행됐다.,2,지난 해 10월 11일에는 모든 관계인과 법률 대리인들이 참석한 상태에서 변론 준비를 위한 기일이 이루어졌다.,clova
1901,수소차는 20만대를 보급하고 충전 인프라 450대를 설치한다.,수소차 보급량이 충천 인프라 설치량보다 많다.,0,충천 기반시설 구축에 비해 수소 자동차 보급이 더 많이 이루어졌다.,clova
1902,"앞으로 이명박 정부의 성공이 대한민국의 성공이라는 확실한 신념으로, 백의종군의 자세로 최선을 다해서 도울 것입니다.",확실한 신념을 가지고 최선을 다해서 도울 것입니다.,0,확고한 믿음을 지니고 온 힘을 쏟아 도와줄 것입니다.,clova
1903,지난 12일 막을 내린 대한민국 동행세일 기간 이뤄진 비대면 매출이 259억 4000만원 규모로 집계됐다.,대한민국 동행세일을 다음달까지 지속된다.,2,다음 달까지는 대한민국 동행 세일이 이어진다.,clova
1904,"1960년 3월 15일 이승만 정권의 부정선거에 항거해 오후 3시 30분 경남 마산에서 1천여 명의 시민, 학생이 민주주의 만세를 외치며 거리에 나섰다.",시민들의 항거덕에 이승만 정권은 무너졌다.,1,이승만 정권 붕괴에는 시민들의 저항 운동이 큰 역할을 하였다.,clova
1905,그리스의 에어비앤비 중에서 가성비 최고입니다,가성비가 너무 떨어집니다.,2,가격 대비 성능이 매우 낮습니다.,clova
1906,5일 오후 김도균 씨는 남성 패션 잡지 그라치아에서 찍은 본인 화보 4장을 인스타그램에 게재했다.,김도균 씨는 인스타그램을 사용한다.,0,김도균 씨가 주로 사용하는 소셜 미디어 플랫폼은 인스타그램이다.,clova
1907,"프랭크는 변호사로 노동조합 소속의 빌 버팔리노를 고용하고, 빌은 간단한 변호로 프랭크를 이기게 해준다.",빌은 유능한 변호사이다.,1,변호사 빌은 유능하다.,clova
1908,우주의 광활함과 자연의 위대함을 볼 수 있는 영화였다.,우주의 광활함과 그에 비해 초라한 자연을 볼 수 있는 영화였다.,2,영화 속에서 우주라는 거대한 공간과 그 안에서 미비한 존재인 자연이 대비되며 보여졌다.,clova
1909,2021년 6월 1일 이후 양도분부터 적용된다.,2020년 6월 1일 이후 양도분은 적용 대상이 아니다.,2,양도분 중 2020년 6월 1일 이후에 해당하는 것은 적용 대상에서 제외된다.,clova
1910,조선민주주의인민공화국이 발사를 예고했던 날인 10일까지 발사 준비를 모두 끝낼 것으로 보인다.,조선민주주의인민공화국은 발사를 예고한 적 없다.,2,조선 민주주의 인민 공화국은 발사 예고를 전혀 하지 않았다.,clova
1911,배우들의 극중 성격과 감정이 1년전 전편과 이어지질 않는다.,배우들의 역할이 1년전 전편과 달라진다.,1,1년 전에 비해 배우들이 맡은 캐릭터가 변화한다.,clova
1912,"새로운 제품, 서비스에 관한 광고성 정보는 받고 싶지 않지만 비밀번호 변경, 마일리지 소멸 등 이용 중인 서비스를 위한 메일은 받고 싶을 수 있다.",광고성 정보를 받고 싶은 사람도 있다.,1,광고성 정보 수령을 원하는 이들도 존재한다.,clova
1913,"아울러, 고용보험에 새로 가입하는 취약계층의 경제적 부담을 완화하기 위해 고용보험료 지원 등도 적극 추진할 것입니다.",취약계층의 대부분이 고용보험에 새로 가입한 사람입니다.,1,대부분의 취약계층이 고용보험 신규 가입자에 속합니다.,clova
1914,삶에 미련이 남은 건지 기억되고 싶은 건지 이런 글을 쓰고 있는 저도 참 웃기다.,나는 이 글을 쓰고 나서 살고 싶어졌다.,1,이 글을 완성하고 난 뒤 삶의 의욕이 생겼다.,clova
1915,허지만 일상적인 평범함과 아무런 편집이 이뤄지지 않은 것 같은 자연스러움이 오히려 큰 힘을 발산시키는 영화다.,잔잔한 배경음도 큰 힘을 발산시키는데 한 몫 한다.,1,잔잔하게 흐르는 배경음악 역시 강력한 에너지를 발산하는 데 기여한다.,clova
1916,부산 북항대교 접속도로 공사현장에서 철골구조물이 무너지는 사고가 발생해 4명이 숨졌다.,구조물이 무너지는 사고가 발생했다.,0,구조물 붕괴 사고가 일어났다.,clova
1917,체크인 체크아웃때 차 커피 다과를 주시더라고요,체크인 때는 차 커피 다과를 안주시더라고요.,2,체크인 시에는 음료나 간식이 제공되지 않았습니다.,clova
1918,지방의 소도시 나가레가와 시에 사는 여고생 우사미 나나코는 시청에 근무하는 삼촌이 마을 부흥을 위해 수영장에서 무대 공연을 해 달라고 부탁을 받는다.,우사미 나나코는 수영장에서 공연을 한다.,1,우사미 나나코가 수영장에서 펼치는 공연이다.,clova
1919,소속 없는 취업 준비생보다는 학생의 신분을 유지하는 게 취업에 유리하다는 판단에 학생들의 선호도가 높았다.,학생의 신분을 유지하는 것이 취업에 더 유리하다.,0,취업 시에는 학생이 신분인 상태가 더욱 이롭다.,clova
1920,위치가 정말 좋아서 도쿄관광하기에 편합니다.,도쿄구경하기에 위치가 정말 좋습니다.,0,위치가 좋아서 도쿄 관광에 최적화된 곳입니다.,clova
1921,저희가 묵은 이 숙소의 최대 장점은 위치였어요.,숙소의 위치가 좋았어요.,0,숙소가 위치한 곳이 아주 좋았습니다.,clova
1922,체크아웃하고 캐리어 보관 서비스도 이용가능합니다.,캐리어 보관 서비스는 항상 이용 불가능입니다.,2,캐리어를 맡길 수 있는 서비스는 언제나 제공되지 않습니다.,clova
1923,다른 사람들 얘기처럼 뭘 봤는지 기억도 안 난다.,다른 사람들과 달리 본 것을 똑똑히 기억한다.,2,타인과 다르게 관찰한 바를 정확히 떠올린다.,clova
1924,"특히 공공미술 사업, 청년 창업 지원 등 지역 특성이 반영된 것과 사업의 실현가능성 정도가 평가에서 높은 점수를 받았다.","특히 청년 창업 지원, 공공미술 사업 등 지역 특성이 반영된 것과 사업의 실현가능성 정도가 고평가를 받았다.",0,"특히, 지역의 특성을 반영하고 실현 가능성이 높은 청년 창업 지원이나 공공미술 사업 등이 높은 평가를 받았다.",clova
1925,그는 어깨에 총을 맞은 채로 친구이자 직장 동료인 보험 조사관 바튼 키즈에게 남기는 자백의 말을 녹음하기 시작한다.,그는 어깨의 총상으로 인해 위독하다.,1,그가 심각한 것은 어깨에 입은 상처로 인한 위독 상태 때문이다.,clova
1926,21일 기상청에서 첫눈 가능성을 예보한 가운데 강원도에 하얗게 눈이 쌓였다.,21일에 기상청에서 첫눈이 올것이라고 예보했다.,0,기상청은 21일 첫눈이 내릴 것이라 예언하였다.,clova
1927,또한 내부 직원 송아무개씨가 차남과 공모해 인력 공급 업체를 차린 후 60억원을 가로챈 사실도 확인했다.,직원 송아무개씨는 60억원을 가로챈 사실이 있다.,0,직원인 송아무개씨가 저지른 행위로 인해 총 60억 원이 편취된 사례가 존재한다.,clova
1928,연출은 그저그랬지만 톱 여배우 두 명의 열연으로 10점받을 가치 충분.,연출도 최고였다.,2,연출은 정말 훌륭했다.,clova
1929,이라크 남부 시아파 성지인 카르발라 시 교외에서 2건의 자살 차량폭탄 공격으로 적어도 50명이 사망했다.,카르발라 시 교외에서 1건의 자살 차량폭탄 공격이 있었다.,2,카르발라 시의 근교에서 발생한 자동차 폭탄 테러로 인한 자살 사건이 하나 있습니다.,clova
1930,트립은 35살임에도 아직까지 부모와 같이 산다.,트립은 36세가 되면 독립할 예정이다.,1,트립이 스물여섯 해를 더 살고 나면 스스로 서려 한다.,clova
1931,아오리 라멘은 유리 홀딩스와의 관계도 정리하기로 했다고 언급했다.,아오리 라멘은 유리 홀딩스와 관계가 있다.,0,아오리 라멘이 속한 유리 홀딩스와의 연관성이 존재한다.,clova
1932,인테리어는 정말 정말 마음에 들었습니다.,인테리어가 마음에 쏙 들었습니다.,0,인테리어에 완전히 마음이 사로잡혔습니다.,clova
1933,김 지사는 이날 전라남도 민간정원 4호로 지정된 죽암농장의 금세기정원을 둘러보고 후대에게 물려주고 싶은 전남의 아름다운 숲을 구상했다.,죽암농장 금세기 정원은 전남 민간정원 6호이다.,2,죽암농장의 금세기 정원이 전라남도 내 민간 정원 중 제6호로 지정되었다.,clova
1934,그는 허준에게 자신의 병이 외부로 알려지지 않고 수술을 성공적으로 하면 허준의 아내가 죽는 모습이 담긴 녹화 테이프의 원본을 주겠다는 조건을 내건다.,허준은 아내가 죽는 모습을 보고싶어한다.,1,허준은 자신의 아내 사망 현장을 목격하고 싶어 한다.,clova
1935,"신약성서의 모티브를 자유롭게 변주하며, 이 땅의 가난한 자들에 대해 바라본다.",신약성서의 모티브는 자유롭게 변주가 불가능하다.,2,신약 성서의 주제는 수정이 불가합니다.,clova
1936,청년 복지포인트와 관련한 자세한 사항은 경기도 일자리재단 상담 콜센터에서 문의하면 친절한 안내를 받을 수 있다.,경기도 일자리재단 상담 콜센터에서는 청년 복지포인트 관련 사항을 안내해준다.,0,경기도 일자리 재단에서 운영하는 상담 콜센터는 청년 복지 포인트에 관한 정보를 제공한다.,clova
1937,"야당의 의원총회는 아직 끝나지 않았고, 어떻게 결론이 나느냐에 따라 마비된 정국의 출구가 빠른 시일내에 생길 것인지도 결정될 것입니다.",의원총회의 결론은 아직 정해지지 않았습니다.,0,의원 총회에서 도출된 결론은 아직 미정 상태입니다.,clova
1938,감독의 상상력과 작품성이 우수했던 작품이라 생각됩니다.,감독의 상상력이 우수했던 작품이라 생각됩니다.,0,작품이 감독의 뛰어난 상상력 덕분에 우수한 것으로 여겨집니다.,clova
1939,적금은 즉시연금형과 증여우대형이 있으며 월 저축액은 자유롭게 정할 수 있다.,매월 저축 금액은 원하는 만큼 정할 수 있다.,0,매달 적립하는 액수는 마음대로 조정 가능하다.,clova
1940,"구속인정심사에서 검찰은 도주 및 증거인멸의 우려로 구속을, 변호인은 도주를 도울 사람이 없다는 이유로 불구속을 주장했다.",구속인정심사에서 검찰도 불구속에 동의했다.,2,검찰 또한 구속 인정 심사에서 피의자의 불구속 입장에 동의하였다.,clova
1941,여행기간동안 호스트 얼굴한번 못봤습니다.,여행 기간 하는 동안 호스트와 연락했습니다.,1,여행 중 호스트에게 계속 연락하였습니다.,clova
1942,숙소 내부에 세탁기와 세탁 세제가 있습니다.,숙소에서 세탁기로 세탁을 했습니다.,1,숙소의 세탁기를 이용해 빨래를 돌렸습니다.,clova
1943,모두가 힘을 모아 국난극복에 함께 나서지 않으면 안 됩니다.,역대 최악의 국난을 겪고있습니다.,1,지금까지 경험한 적 없는 최악의 국가적 난관을 맞이하고 있습니다.,clova
1944,에너지 정책의 설정에 있어 경제성에 기반을 두고 에너지를 공급한다는 기본방침을 관철한다 할지라도 국제수지에 대한 영향이나 고용문제 등이 배려되지 않으면 안 된다.,에너지 정책은 기본 방침 외 사안들이 종합적으로 배려되야 한다.,0,에너지 정책에 있어서는 기본적인 방침 외에도 여러 가지 사안들을 총체적으로 고려해야 한다.,clova
1945,해외에 있는 사람들의 힘이 우리에게 큰 도움이 될 것입니다.,해외에 있는 사람들의 힘만이 우리에게 필요합니다.,1,해외에서 활동하는 이들의 도움이 우리에게는 절실합니다.,clova
1946,중기부는 이러한 매출 호조가 이번 동행세일 특유의 파격적인 혜택과 함께 라이브커머스 등 다양한 형태의 비대면 판매 채널에 힘입어 가능했던 것으로 분석하고 있다.,매출 호조로 인해 중기부의 예산이 늘어났다.,1,중기부 예산 증가에는 매출 상승이 영향을 미쳤다.,clova
1947,"하노버 경찰에 따르면, 현지 시간으로 10일 밤 독일 축구 국가대표팀의 골키퍼 로베르트 엔케가 사망하였다.",로베르트 엔케는 독일 축구 국가대표팀의 골키퍼였다.,0,로베르트 엔케는 독일 축구 국가 대표팀에서 수문장을 맡았다.,clova
1948,펜팔에서 만난 경상도 여인 다홍과 알콩달콩 연애하며 사랑을 키워가던 그는 아버지의 강요로 선을 봐야 한다는 다홍의 말에 그녀와 결혼을 결심한다.,"선을 봐야 한다는 다홍의 말에, 그는 다홍과의 결혼을 포기한다.",2,"다홍이 결혼 전 만남을 요구하자, 그는 결국 그녀와의 혼인을 단념했다.",clova
1949,프라이와 벤더는 군인 할인을 받기 위해 군에 지원했다가 전쟁에 나가게 된다.,프라이와 벤더는 전쟁까지 나가지만 군인 할인을 받지 못한다.,1,전쟁에 참여한 프라이와 벤더가 군인 할인 혜택을 누리지 못합니다.,clova
1950,이야 산은 인도네시아 플로레스섬 남부에 있는 활화산이다.,이야 산의 최종 분화는 시기는 20세기이다.,1,이야 산이 마지막으로 분화한 때는 20세기에 해당한다.,clova
1951,"공작부인은 병상의 어머니에게 자신의 마음을 털어놓지만, 어머니는 딸에게 아내로서의 의무를 다할 것을 강조하며 세상을 떠난다.",공작부인은 어머니의 죽음을 슬퍼한다.,1,공작부인은 슬픔에 빠져 어머니의 죽음을 애도하고 있다.,clova
1952,특히 야외 로케로 진행된 화보에서 모델 못지 않는 완벽한 포즈를 선보여 현장에 있던 스태프들의 감탄을 자아냈다.,야외 화보 촬영에서 보여준 배려는 스태프들을 미소짓게 했다.,1,야외 사진 촬영 시 나타난 배려는 직원들의 얼굴에 웃음을 머금게 하였다.,clova
1953,"한국철도의 문제는 여전히 해결되지 않았고, 안전을 경시하는 근무환경과 사회적 풍조는 아직도 개선되지 않았다.",개선 완료된 것은 안전을 경시하는 근무환경 뿐이다.,2,오직 안전에 소홀한 업무 환경만이 개선이 마무리되었다.,clova
1954,"이번 설명회에는 환경부, 산업부, 지자체 그린뉴딜 관련 담당자, 관련 연구기관 등에서 참석할 예정이다.",환경부는 이번 설명회에 불참할 예정이다.,2,환경부 측은 다가올 설명회에서 참석하지 않을 계획이다.,clova
1955,소파와 침대 모두 푹신하고 편안합니다.,침대는 푹신하지 않습니다.,2,침대가 폭신하지는 않다.,clova
1956,김 후보자는 국민의 신뢰가 없으면 총리직에 임명된다 하더라도 무슨 일을 할 수 있겠는가라며 사퇴 이유를 밝혔다.,김 후보자는 사퇴했다.,0,김 후보자가 스스로 물러났다.,clova
1957,황토방으로 된 야영장과 국내 최고 시설을 자랑하는 샤워장을 보유하고 있고 일몰 광경은 전국에서 최고라 할 정도로 유명하다.,일몰 광경은 볼품없다.,2,일몰 풍경은 멋지지 않다.,clova
1958,강아지를 끔찍이도 좋아하는 12살 독일 소녀인 키라 클라우스 뮐러는 돈으로 인한 자기 부모의 다툼으로 인해 돈에 대한 안 좋은 감정을 갖게 된다.,키라 클라우스 뮐러는 돈에 대한 좋은 인상을 가지고 있다.,2,키라 클라우스 뮐러가 보유한 돈에 관한 긍정적인 이미지.,clova
1959,공촌사업소에서는 2008년도부터 11년째 지속적으로 공촌천유수지 환경지킴이 활동을 펼치고 있다.,공촌사업소의 공촌천유수지 환경 보호 활동은 활동 시작한 후 10년째에 끝이 났다.,2,공촌천 유수지 환경 보호를 위해 시작된 공촌사업소 활동은 개시한 지 어느덧 10년이 지난 후에 마무리되었다.,clova
1960,"또한 현장을 목격한 병사의 증언에 따르면, 윤 일병이 목에 음식물이 걸려 쓰러진 직후에도 병사들이 배를 심하게 밟았다는 정황 또한 드러났습니다.",윤 일병의 구타장면을 본 사람은 없었습니다.,2,아무도 윤 일병을 폭행하는 모습을 보지 못했습니다.,clova
1961,"냉장고, 전자레인지 등 있을거 다있습니다.",주방에는 있을 것이 다 있습니다.,0,부엌에 갖춰진 모든 물건들이 존재합니다.,clova
1962,그리고 이곳에서 뜻밖의 인연도 만났습니다,이곳에서 예상하지 못했던 인연을 만났습니다.,0,예상치 못한 만남이 이 장소에서 이루어졌습니다.,clova
1963,"반크가 도대체 얼마나 큰 단체이길래, 일본의 장관급들이 움직이냐는 반응이었습니다.",반응은 없었습니다.,2,반응이 전혀 나타나지 않았습니다.,clova
1964,성인 2명이 지내기에 아늑한 공간입니다.,성인 2명이 지내기에 아늑합니다.,0,두 명의 성인이 머물기에 안락한 공간입니다.,clova
1965,한편 전쟁에 징병 되었던 큰손자 스케키요가 귀환하면서 이누가미 사헤의 유언장도 공개된다.,스케키요는 전사했다.,2,스케키요가 사망하였다.,clova
1966,다만 호스트와의 체크인시 연락두절은 가장큰 오점이었습니다.,호스트와 연락이 끊긴 적이 있습니다.,0,호스트와의 연락이 단절된 경험이 있다.,clova
1967,영화 시작부터 끝까지 긴장감을 늦출 수가 없네요.,주인공과 악역의 갈등이 긴장감을 조성하네요.,1,주인공과 반대편인 악당의 대립이 긴장된 분위기를 만듭니다.,clova
1968,이 영화에서 진짜 공포는 괴물들이 아니다.,괴물들은 이 영화의 진정한 공포가 아니다.,0,이 영화에서 진짜 두려움을 주는 것은 괴물이 아니다.,clova
1969,이날 부동산가격공시위원회 심의위원 12명과 한국감정원 관계자 3명 등 총 15명이 참석했다.,이날 참석자는 총 15명이다.,0,이 날 모인 사람은 모두 합쳐서 15명이었다.,clova
1970,왜 이런 의미없는 영화를 모여서 봐야 하나,왜 혼자서 이런 의미없는 영화를 봐야 하나.,2,왜 홀로 이런 아무 뜻 없는 작품을 감상해야 할까?,clova
1971,"노인대학은 인문학, 교양, 건강, 우리 고장 역사 알기, 효도 공연, 선진지 견학 등으로 커리큘럼을 편성하여 올해 11월까지 운영될 예정이다.",노인 대학은 커리큘럼이 없다.,2,노인대학에는 정해진 강의 계획서가 없습니다.,clova
1972,기본소득위원회는 앞으로 경기도 기본소득 종합계획 수립과 기본소득 관련 정책 시행안에 대한 심의와 의결 역할을 수행하게 된다.,기본소득위원회는 심의와 의결 역할만 진행할 것이다.,1,기본소득위원회는 오로지 심의 및 의결을 담당하게 될 것이다.,clova
1973,매우 깨끗하고 인테리어도 너무 이뻐요.,청결상태는 아쉬웠어요.,2,청결 상태가 미흡하여 실망스러웠습니다.,clova
1974,영화 끝난후 엄마에게 사랑한다고 문자보내게 되는영화,영화 끝난 후에 엄마에게 고맙다고 말한 영화.,1,엄마에게 감사인사를 전한 영화가 끝나다.,clova
1975,그렇지만 정확한 팩트체크 이전에는 양상푼 주필의 발언이 명확히 사실이 아니며 오류라는 것 또한 단언할 수 없다.,양상푼 주필의 발언에 대한 정확한 팩트체크는 아직 이뤄지지 않았다.,0,양상훈 주필이 내뱉은 말에 대해 확실한 사실 확인 작업이 현재까지 진행되지 않았다.,clova
1976,"아들 자랑이 유일한 낙인 욕쟁이 칠순 할매 오말순은 어느 날, 가족들이 자신을 요양원으로 독립시키려 한다는 청천벽력 같은 사실을 알게 된다.",오말순은 고운 말만 쓰지는 않는다.,0,오말순이 항상 예쁜 말을 쓰는 것은 아니다.,clova
1977,"양 장관은 또한, 한미일 및 다자 안보협력을 통해 동북아의 평화와 안보를 유지하기 위한 한미 역내 전략의 시너지 창출을 지속 모색해 나갈 것입니다.",양 장관은 또한 동북아의 평화와 안보를 유지하기 위한 한미 역내 전략의 시너지 창출을 최우선으로 모색해 나갈 것입니다.,1,양측은 동북아시아의 안정과 평화를 지속할 한미 지역 전략을 통한 상생 효과를 가장 먼저 추구할 예정입니다.,clova
1978,북한에 우호적으로 반응하였고 북미관계를 개선시킨 인물이기 때문에 대한민국에서는 트럼프의 재선을 바라는 사람들이 많았다.,트럼프는 북미관계를 악화시킨 인물이다.,2,북미관계를 악화시킨 장본인이 바로 트럼프다.,clova
1979,이에 맞춰 통신 대기업인 소프트방크가 내년 4월부터 근무시간 중의 흡연을 전면 금지키로 하는 등 주요 대기업들이 잇따라 강화된 금연 대책을 내놓고 있다.,소프트방크는 통신관련 중소기업이다.,2,소프트뱅크라는 회사는 통신 분야의 중소기업으로 볼 수 있다.,clova
1980,그렇지만 스토리의 유니크함은 찾을 수 없었음,연출의 유니크함은 찾을 수 있었음.,1,연출에서 독특함을 발견할 수 있었다.,clova
1981,정부가 7월 1일부터 학대 위기아동 조기발굴을 위해 고위험 아동을 대상으로 집중점검을 실시한다.,집중점검은 7월 1일부터 3개월 동안 실시될 예정이다.,1,집중 점검 기간은 앞으로 석 달간 진행되며 시작일은 7월 1일이다.,clova
1982,김우중 전 대우회장이 회고록을 통해 대우그룹의 해체에는 경제관료들의 정치적인 이해가 담겼다고 주장했습니다.,김우중 전 대우회장의 주장은 사회에 큰 파장을 일으키고 있습니다.,1,김우중 前 대우그룹 회장의 주장이 사회적으로 엄청난 영향을 미치고 있습니다.,clova
1983,뉴 그리니치에서 윌은 카지노를 방문하고 시간을 낭비하는 사업가 필립 위스와 그의 딸 실비아를 만난다.,사업가 필리 위스는 시각을 엄격하게 관리하는 사람이다.,2,시각 관리에 철저한 사람이 바로 사업가인 필리 위스다.,clova
1984,현재 성인대표팀보다 10살 이상 어린 선수들을 집중적으로 투자해야 한다고 베트남 축구협회에 이야기했다.,현재 성인대표팀은 투자에 힘입어 좋은 성적을 내고 있다.,1,현재 성인 대표팀은 투자의 지원으로 훌륭한 성과를 얻고 있는 상황이다.,clova
1985,혹시나 옛날 영화를 너무 요즘 기준에서 본다,요즘 기준에서 옛날 영화를 본다.,0,요즘 관점에서 과거에 제작된 영화를 감상한다.,clova
1986,2021년부터 정지궤도 공공복합통신위성 사업도 추진한다.,정지궤도 공공복합통신위성 사업은 각광받는 사업이다.,1,정지궤도의 공공복합통신위성 프로젝트가 주목 받는 중이다.,clova
1987,호스트와 커뮤니케이션도 아주 원활했습니다.,호스트와 의사소통도 아주 원활했습니다.,0,호스트와의 소통이 매우 순조로웠습니다.,clova
1988,국토부는 온전한 용산공원 조성을 위해 경찰청 예정시설을 용산역 인근 정비창부지로 이전하기로 경찰과 합의했다.,경찰은 온전한 용산공원 조성을 위해 관련 내용을 국토부와 합의했다.,0,경찰은 국토부와의 합의를 통해 완전한 용산공원의 조성에 필요한 사항을 정하였다.,clova
1989,"대한백신학회에서는 독감백신과 사망자에 대해 명확한 인과관계를 확인하지 못한다고 하였으며, 예방접종은 지속해야한다고 밝혔다.",대한백신학회는 독감백신과 사망자에 대해 명확한 인과관계를 확인했다고 했다.,2,대한백신학회에서는 인플루엔자 백신 접종과 사망 사례 간에 뚜렷한 원인-결과 관계를 파악하였다고 발표했다.,clova
1990,"또한, 은행동 지역사회보장협의체에서는 거동이 불편해 이번 행사에 참여를 못하신 독거어르신 18세대에 돼지고기를 직접 포장, 어려운 가정에 전달해 드렸다.",은행동 지역사회보장협의체에서는 이번 행사에 참여한 어르신들을 위해 반찬을 제공했다.,1,이번 행사에서 어르신들께 드리기 위해 은행동 지역사회보장협의체가 준비한 것은 바로 반찬이었다.,clova
1991,소피마르소 내 인생에 있어서 청순 넘버 원,소피마르소는 전혀 청순하지 않은 넘버 제로.,2,소피 마르소가 연기한 캐릭터는 청순함이 결여된 작품 속 넘버제로이다.,clova
1992,"지난 22일, 광역 토론토 지역에 결빙성 폭풍우가 몰아치면서 정전사태가 발생해 40만명이 불편을 겪었다.",광역 토론토 지역에 정전사태가 발생했다.,0,광역 토론토 지역에서 전력이 끊기는 일이 일어났다.,clova
1993,"기정은 인터넷에서 읽은 미술 치료에 대한 지식으로, 다송이 초등학교 1학년 때 집에서 본 귀신으로 트라우마를 앓고 있다는 사실을 맞춰 연교의 신뢰를 얻는다.",다송은 집에서 귀신을 보았다.,0,다송이 자신의 거주지에서 영적 존재를 목격했다.,clova
1994,최근 사례에서 드러난 모니터링 과정에서의 문제점을 보완하기 위한 전담공무원에 대한 교육에도 만전을 다한다는 방침이다.,전담공무원에 대한 교육에 힘을 쏟을 방침이다.,0,전담 공무원을 대상으로 교육을 강화할 예정이다.,clova
1995,"김영록 전남도지사가 23일 완도수목원을 찾아 현황을 보고 받고, 동백나무와 편백나무 숲을 시찰했다.",김영록 전남도지사는 완도수목원 현재 상황에 대해 들었다.,0,김영록 전남도지사로부터 완도수목원의 현 상황에 대한 보고를 받았다.,clova
1996,아이들과 와이키키 해변까지 걸어가기에도 문제가 없었습니다.,노인들과 와이키키 해변까지 걸어가기는 힘듭니다.,1,와이키키 해안에 이르는 길이 노인들에겐 걷기가 버겁습니다.,clova
1997,어릴적 부모님과 같이 봤는데 산타루치아 노래와 소녀의 푸른눈동자가 생각남,산타루치아 노래가 나옴.,0,산타루치아의 음악이 흘러나온다.,clova
1998,"이번 행사는 약 1200명의 요가인들이 모일 것으로 예상되며, 야외 요가 클래스 및 축하공연 등 다양한 행사가 진행될 예정이다.",요가 클래스는 야외에서도 진행할 수 있다.,0,야외에서 이루어질 수도 있는 것이 바로 이 요가 수업이다.,clova
1999,손영래 중앙사고수습본부 전략기획반장이 중앙재난안전대책본부 정례브리핑을 하고 있다.,손영래 중앙사고수습본부 전략기획반장이 전략기획반과 함께 중앙재난안전대책본부 정례브리핑을 하고 있다.,1,중앙사고수습본부 소속 손영래 반장과 그 전략기획반이 중앙재난안전대책본부에서 정기 브리핑에 참여하고 있다.,clova
2000,도전 정신만 보이고 영화나 예술에 대한 노력이나 치열함이 안 보인다.,도전 정신도 보이지 않는다.,2,도전하는 마음 또한 찾아볼 수가 없다.,clova
2001,인생에서 잘한일을 뽑는다면 허트로커를봤다는거,허트 로커를 본것은 인생에서 잘한 것.,0,인생에서 가장 잘한 일은 허트 로커를 감상한 것이다.,clova
2002,허리우드를 삼킬만한 거대한 스릴러 였다.,헐리우들르 정복할만한 거대한 스릴러였다.,0,헐리우드에서 성공할 가능성이 큰 엄청난 긴장감을 선사하는 작품이었다.,clova
